Key,SourceString,Comment
Common.Format.StatComparisonLine,{0} {1}  {2},장비 스탯 증감 비교 표시 형식
Common.Format.Timer,{0}:{1},분과 초 타이머 표시 형식
Common.Format.SpeakerName,{0}:,무전 화자 이름 표시 형식
Common.Value.NotAvailable,—,표시할 값이 없을 때 사용하는 기호
Stat.Health,체력,체력 스탯 라벨
Stat.Stamina,스태미나,스태미나 스탯 라벨
Stat.AttackDamage,공격력,공격력 스탯 라벨
Stat.Defense,방어력,방어력 스탯 라벨
Stat.MoveSpeed,이동속도,이동 속도 스탯 라벨
WeaponStats.Section.Attack,공격,무기 스탯 공격 구역
WeaponStats.Section.CriticalAndElement,치명타·속성,무기 스탯 치명타 및 속성 구역
WeaponStats.Section.AccuracyAndRange,명중·사거리,무기 스탯 명중 및 사거리 구역
WeaponStats.Section.Mobility,기동,무기 스탯 기동 구역
WeaponStats.Label.Damage,공격력,무기 공격력 라벨
WeaponStats.Label.FireRate,발사 속도,무기 발사 속도 라벨
WeaponStats.Label.MagazineSize,장탄량,무기 장탄량 라벨
WeaponStats.Label.ReloadTime,재장전 시간,무기 재장전 시간 라벨
WeaponStats.Label.Penetration,관통력,무기 관통력 라벨
WeaponStats.Label.CriticalChance,치명타 확률,무기 치명타 확률 라벨
WeaponStats.Label.CriticalMultiplier,치명타 배율,무기 치명타 배율 라벨
WeaponStats.Label.WeakpointMultiplier,약점 배율,무기 약점 배율 라벨
WeaponStats.Label.MultiHitMultiplier,다중 타격 배율,무기 다중 타격 배율 라벨
WeaponStats.Label.StatusEffectChance,상태효과 부여확률,무기 상태 효과 확률 라벨
WeaponStats.Label.BreakPower,격파,무기 격파 라벨
WeaponStats.Label.HipFireAccuracy,지향 정확도,무기 지향 사격 정확도 라벨
WeaponStats.Label.AdsAccuracy,조준 정확도,무기 조준 정확도 라벨
WeaponStats.Label.EffectiveRange,유효 사거리,무기 유효 사거리 라벨
WeaponStats.Label.MaxRange,최대 사거리,무기 최대 사거리 라벨
WeaponStats.Label.DamageFalloff,거리 감소율,무기 거리 감소율 라벨
WeaponStats.Label.MoveWhileFiring,사격 중 이동,무기 사격 중 이동 속도 라벨
WeaponStats.Label.MoveWhileAiming,조준 중 이동,무기 조준 중 이동 속도 라벨
WeaponStats.Label.SprintSpeed,전력 질주,무기 전력 질주 속도 라벨
Travel.Status.MainMenu,메인 메뉴로 이동 중...,메인 메뉴 이동 상태
Travel.Status.CharacterSelect,캐릭터 선택으로 이동 중...,캐릭터 선택 이동 상태
Travel.Status.Hub,허브로 이동 중...,허브 이동 상태
Travel.Status.Generic,맵 이동 중...,일반 맵 이동 상태
Travel.Map.MainMenu,Main Menu,메인 메뉴 맵 표시 이름
Travel.Map.CharacterSelect,Character Select,캐릭터 선택 맵 표시 이름
Travel.Map.Hub,Hub,허브 맵 표시 이름
Travel.Error.UnsupportedEntryType,지원하지 않는 이동 요청입니다.,지원하지 않는 이동 요청 오류
Travel.Error.InvalidMapId,맵 Primary Asset ID가 올바르지 않습니다: {0},잘못된 맵 ID 오류
Travel.Error.MapNotFound,등록된 맵을 찾을 수 없습니다: {0},맵 검색 실패 오류
Travel.Error.InvalidWorld,이동할 월드를 찾을 수 없습니다.,월드 검색 실패 오류
Travel.Error.WorldExpired,이동 전에 월드가 종료되었습니다.,이동 전 월드 종료 오류
Travel.Error.Failure,맵 이동에 실패했습니다. ({0}: {1}),맵 이동 실패 오류
QuickPlay.Error.InvalidPlayer,퀵플레이를 요청할 로컬 플레이어가 올바르지 않습니다.,퀵플레이 플레이어 오류
QuickPlay.Error.InvalidDefinitionId,BattleDefinition Primary Asset ID가 올바르지 않습니다: {0},퀵플레이 전투 정의 ID 오류
QuickPlay.Error.NoSessionSubsystem,CommonSessionSubsystem을 사용할 수 없습니다.,퀵플레이 세션 시스템 오류
QuickPlay.Error.StateLost,퀵플레이 요청 상태가 유실되었습니다.,퀵플레이 상태 유실 오류
QuickPlay.Error.PlayerLost,퀵플레이 중 로컬 플레이어가 종료되었습니다.,퀵플레이 플레이어 유실 오류
Battle.Loading.Connecting,전투에 연결하는 중...,전투 연결 상태
Battle.Loading.Travelling,전투에 참가하는 중...,전투 참가 이동 상태
Battle.Error.DefinitionNotFound,전투 정의를 불러올 수 없습니다: {0},전투 정의 로드 실패
Battle.Error.DefinitionInvalid,전투 정의의 필수 값이 올바르지 않습니다: {0},전투 정의 검증 실패
Battle.Error.MapInvalid,전투 맵이 Asset Manager에 등록되지 않았습니다: {0},전투 맵 등록 오류
Battle.Error.SessionUnavailable,세션 시스템 또는 로컬 플레이어를 사용할 수 없습니다.,전투 세션 사용 불가 오류
Battle.Error.SessionRequestInvalid,세션 요청을 생성할 수 없습니다.,전투 세션 요청 생성 오류
Battle.Error.HostSessionFailed,전투 세션 생성에 실패했습니다.,전투 세션 생성 실패
Battle.Error.JoinSessionFailed,전투 세션 참가에 실패했습니다.,전투 세션 참가 실패
Enum.ELastFPSItemRarity.Common,일반,아이템 희귀도: 일반
Enum.ELastFPSItemRarity.Rare,희귀,아이템 희귀도: 희귀
Enum.ELastFPSItemRarity.Epic,영웅,아이템 희귀도: 영웅
Enum.ELastFPSItemRarity.Legendary,전설,아이템 희귀도: 전설
Enum.EMMWeaponType.Unarmed,비무장,무기 유형: 비무장
Enum.EMMWeaponType.Rifle,소총,무기 유형: 소총
Enum.EMMWeaponType.Pistol,권총,무기 유형: 권총
Enum.ELastFPSEquipmentStat.MaxHealth,최대 체력,장비 스탯: 최대 체력
Enum.ELastFPSEquipmentStat.MaxStamina,최대 스태미나,장비 스탯: 최대 스태미나
Enum.ELastFPSEquipmentStat.AttackDamage,공격력,장비 스탯: 공격력
Enum.ELastFPSEquipmentStat.Defense,방어력,장비 스탯: 방어력
Enum.ELastFPSEquipmentStat.CriticalChance,치명타 확률,장비 스탯: 치명타 확률
Enum.ELastFPSEquipmentStat.CriticalDamagePercent,치명타 피해,장비 스탯: 치명타 피해
Enum.ELastFPSEquipmentStat.PhysicalDamageMultiplier,물리 공격 배율,장비 스탯: 물리 공격 배율
Enum.ELastFPSEquipmentStat.FireDamageMultiplier,화염 공격 배율,장비 스탯: 화염 공격 배율
Enum.ELastFPSEquipmentStat.IceDamageMultiplier,빙결 공격 배율,장비 스탯: 빙결 공격 배율
Enum.ELastFPSEquipmentStat.ElectricDamageMultiplier,전기 공격 배율,장비 스탯: 전기 공격 배율
Enum.ELastFPSEquipmentStat.PoisonDamageMultiplier,독 공격 배율,장비 스탯: 독 공격 배율
Enum.ELastFPSEquipmentStat.MoveSpeed,이동속도,장비 스탯: 이동속도
Equipment.EmptyModule,모듈이 없습니다.,
Equipment.EmptyEquipment,장비가 없습니다.,
Enum.ELastFPSQuestType.Main,메인 임무,퀘스트 분류: 메인
Enum.ELastFPSQuestType.Side,서브 임무,퀘스트 분류: 서브
Quest.Tracker.Empty,진행중인 임무가 없습니다,HUD 퀘스트 트래커: 진행중 퀘스트 없음
Quest.Action.Accept,수락,퀘스트 수락 버튼
Quest.Action.Cancel,거절,퀘스트 거절/취소 버튼
Quest.Action.Track,추적,퀘스트 추적 버튼
Quest.Action.Claim,보상 받기,퀘스트 보상 획득 버튼
Quest.Header.Progress,진행 상황,퀘스트 진행 상황 라벨
Quest.Header.Reward,보상 정보,퀘스트 보상 정보 라벨
Popup.Battle.WeaponRequiredBody,무기를 장착해야 전투에 참여할 수 있습니다.,전투 진입 시 무기 미장착 안내 본문
Quest.Detail.RecommendedLevelFormat,권장 레벨 {0},퀘스트 상세 권장 레벨 표시 형식
Quest.Main,메인 퀘스트,퀘스트 목록 메인 그룹 헤더
Quest.Sub,서브 퀘스트,퀘스트 목록 서브 그룹 헤더
Quest.Status.AvailableFromNPCFormat,{0}에게서 수락 가능,퀘스트 제공 NPC 안내 형식
Quest.NPCButton.Q_Welcome,귀환 신고,Q_Welcome NPC 상호작용 퀘스트 버튼 문구
Quest.NPCButton.Q_Mobility,기동 규격,Q_Mobility NPC 상호작용 퀘스트 버튼 문구
Quest.NPCButton.Q_Endurance,지구력 보강,Q_Endurance NPC 상호작용 퀘스트 버튼 문구
Quest.NPCButton.Q_Arsenal,무장 확충,Q_Arsenal NPC 상호작용 퀘스트 버튼 문구
Quest.NPCButton.Q_Fortress,철벽 확보,Q_Fortress NPC 상호작용 퀘스트 버튼 문구
Quest.NPCButton.Q_Apex,병기 조달,Q_Apex NPC 상호작용 퀘스트 버튼 문구
Quest.NPCButton.Q_FirstSync,각성 완료,Q_FirstSync NPC 상호작용 퀘스트 버튼 문구
Quest.NPCButton.Q_Contamination,사격조 제압,Q_Contamination NPC 상호작용 퀘스트 버튼 문구
Quest.NPCButton.Quest_Reach,정찰 보고,Quest_Reach NPC 상호작용 퀘스트 버튼 문구
Quest.NPCButton.Quest_Hunt,돌격조 소탕,Quest_Hunt NPC 상호작용 퀘스트 버튼 문구
Quest.NPCButton.Quest_Talk,교전 보고,Quest_Talk NPC 상호작용 퀘스트 버튼 문구
Quest.NPCButton.Q_Dungeon_Gate,궤도 돌파,Q_Dungeon_Gate NPC 상호작용 퀘스트 버튼 문구
Quest.NPCButton.Quest_Defend,반응로 방어,Quest_Defend NPC 상호작용 퀘스트 버튼 문구
Quest.NPCButton.Quest_Capture,기지 점령,Quest_Capture NPC 상호작용 퀘스트 버튼 문구
Quest.Reward.PurchaseRefundFormat,구매액 환급 +{0},퀘스트 구매액 환급 표시 형식
Quest.Reward.CompletionBonusFormat,완료 보너스 +{0},퀘스트 고정 완료 보너스 표시 형식
Quest.NPCButton.Q_Elevator_Deploy,궤도 엘리베이터,Q_Elevator_Deploy NPC 상호작용 퀘스트 버튼 문구
